branch,snapshot_section,batch,owner_role,status,snapshot_proposal,current_resolution,selected_target,next_action,proof_pr_commit
renovate/cbor-x-1.x,Pending Approval,5,implementation agent,verified,fix(deps): update dependency cbor-x to v1.6.6,1.6.6; integrity and CBOR/UR/signing unit checks verified,1.6.6,Final Jade CI proof is a merge gate; local QEMU readiness did not pass,PR #1247; signing-upgrade-evidence-2026-09-19.md
renovate/ledgerhq-hw-transport-webusb-6.x,Pending Approval,5,implementation agent,verified,fix(deps): update dependency @ledgerhq/hw-transport-webusb to v6.35.0,6.35.0 with necessary Ledger transitive transport closure,6.35.0,Eight live Ledger tests passed; final CI canonical cleanup receipt,PR #1247; signing-upgrade-evidence-2026-09-19.md
renovate/hapijs-monorepo,Rate-Limited,3,implementation agent,verified,chore(deps): update dependency joi to v17.13.8,Joi 17.13.8 (docs override),Joi 17.13.8 (docs override),Final combined CI and merge; reconcile live Renovate queue,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/nanoid-3.x,Rate-Limited,2,implementation agent,verified,chore(deps): update dependency nanoid to v3.3.19,3.3.19 (root and docs),3.3.19 (root and docs),Final combined CI and merge; reconcile live Renovate queue,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/typescript-6.x,Rate-Limited,2,implementation agent,verified,chore(deps): update dependency typescript to ~6.0.3,6.0.3 (root and both standalone verifiers),6.0.3 (root and both standalone verifiers),Final combined CI and merge; reconcile live Renovate queue,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/uuid-14.x,Rate-Limited,3,implementation agent,verified,chore(deps): update dependency uuid to v14.0.2,14.0.2 (docs only; root optional uuid9 remains),14.0.2 (docs only; root optional uuid9 remains),Final combined CI and merge; reconcile live Renovate queue,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/yaml-2.x,Rate-Limited,2,implementation agent,verified,chore(deps): update dependency yaml to ^2.9.1,2.9.1,2.9.1,Final combined CI and merge; reconcile live Renovate queue,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/npm-11.x,Rate-Limited,7,implementation agent + infrastructure operator,verified,chore(deps): update npm to v11.19.1,11.19.1,11.19.1,Final combined CI and merge; reconcile live Renovate queue,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/stryker-js-monorepo,Rate-Limited,2,implementation agent,no-op,"chore(deps): update stryker-js monorepo to ^9.6.1 (`@stryker-mutator/core`, `@stryker-mutator/vitest-runner`)",9.6.1 (already resolved; floors aligned),9.6.1 (already resolved; floors aligned),Final combined CI and merge; reconcile live Renovate queue,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/mdx-monorepo,Rate-Limited,3,implementation agent,no-op,fix(deps): update dependency @mdx-js/react to ^3.1.1,3.1.1 (already resolved; floor aligned),3.1.1 (already resolved; floor aligned),Final combined CI and merge; reconcile live Renovate queue,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/clsx-2.x,Rate-Limited,3,implementation agent,no-op,fix(deps): update dependency clsx to ^2.1.1,2.1.1 (already resolved; floor aligned),2.1.1 (already resolved; floor aligned),Final combined CI and merge; reconcile live Renovate queue,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/compression-1.x,Rate-Limited,2,implementation agent,verified,fix(deps): update dependency compression to ^1.8.2,1.8.2,1.8.2,Final combined CI and merge; reconcile live Renovate queue,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/tiny-secp256k1-2.x,Rate-Limited,5,implementation agent,no-op,fix(deps): update dependency tiny-secp256k1 to ^2.2.4,2.2.4 already resolved; server/address floors aligned; Trezor v1 unchanged,2.2.4 already resolved; server/address floors aligned; Trezor v1 unchanged,Final combined CI and merge; reconcile live Renovate queue,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/docusaurus-monorepo,Rate-Limited,3,implementation agent,no-op,"fix(deps): update docusaurus monorepo to ~3.10.2 (`@docusaurus/core`, `@docusaurus/module-type-aliases`, `@docusaurus/preset-classic`, `@docusaurus/theme-mermaid`, `@docusaurus/tsconfig`, `@docusaurus/types`)",3.10.2 (already resolved; floors aligned),3.10.2 (already resolved; floors aligned),Final combined CI and merge; reconcile live Renovate queue,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/react-monorepo,Rate-Limited,4,implementation agent,verified,"fix(deps): update react monorepo (`@types/react`, `@types/react-dom`, `react`, `react-dom`)",app React/types 19.3.0; docs React18 retained,app React/types 19.3.0; docs React18 retained,Final combined CI and merge; reconcile live Renovate queue,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/bitcoin-bitcoin-29.x,Rate-Limited,7,implementation agent + infrastructure operator,verified,chore(deps): update bitcoin/bitcoin docker tag to v29.4,29.4 immutable digest; 480 address and 11 PSBT vectors unchanged,29.4,Final paired CI; address source provenance regenerated after final workflow coordination,PR #1247; bitcoin-core-verifier-2026-09-19.md; signing-upgrade-evidence-2026-09-19.md
renovate/vitejs-plugin-react-6.x,Rate-Limited,4,implementation agent,blocked,chore(deps): update dependency @vitejs/plugin-react to ^6.1.1,6.0.2,6.1.1,Normal npm resolution fails ERESOLVE in optional Rolldown/Babel7/8 graph; migrate coherently without force,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/colord-2.x,Rate-Limited,3,implementation agent,verified,chore(deps): update dependency colord to v2.10.0,2.10.0,2.10.0,Final combined CI and merge; reconcile live Renovate queue,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/lizard-1.x,Rate-Limited,2,implementation agent,verified,chore(deps): update dependency lizard to v1.24.0,1.24.0,1.24.0,Final combined CI and merge; reconcile live Renovate queue,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/node-linux-x64-24.x,Rate-Limited,7,implementation agent + infrastructure operator,verified,chore(deps): update dependency node-linux-x64 to v24.21.0,24.21.0,24.21.0,Final combined CI and merge; reconcile live Renovate queue,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/prisma-7.x,Rate-Limited,6,implementation agent,verified,chore(deps): update dependency prisma to ^7.10.0,7.10.0,7.10.0,Final combined CI and merge; reconcile live Renovate queue,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/serialize-javascript-7.x,Rate-Limited,3,implementation agent,verified,chore(deps): update dependency serialize-javascript to v7.1.1,7.1.1,7.1.1,Final combined CI and merge; reconcile live Renovate queue,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/tsx-4.x,Rate-Limited,2,implementation agent,verified,chore(deps): update dependency tsx to ^4.23.13,4.23.13 (root and both standalone verifiers),4.23.13 (root and both standalone verifiers),Final combined CI and merge; reconcile live Renovate queue,PR #1247; dependency-closeout-execution-2026-09-19.md
